URL,Lyrics,Title,Album Title
https://mojim.com/cny100012x85x1.htm,"
五月天






外人(诺亚方舟 10周年进化)


feat. 萧秉治
作词：萧秉治、葛大为
作曲：萧秉治
编曲：林喆安
曾意志消沈
曾无比快乐
相爱的两人相反的人生
回忆再温热
承诺再深刻
其实都已经不重要了
你不是吻痕
更不是过客
你是我还在执著的永恒
遗憾的是只能祝福着
谢谢你让我曾经完整
我终于舍得放手让你寻找下一段的旅程
你就是一道光有无限可能
不是为了我也要勇敢也要幸福也要快乐
感动过 何必怕最爱的人
变成外人
不像在活着
这才是活着
对宫的我们远远相望着
陌生却也是最了解的
都别再为了彼此心疼
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
我终于舍得放手让你寻找下一段的旅程
你就是一道光有无限可能
不是为了我也要勇敢也要幸福也要快乐
你永远 会是我最爱的人
我终于懂得放手能让想念更自由地折射
我会像一道光在黑夜里等
等到我生命不再孤单不再徬徨不再忐忑
你永远 会住在我的灵魂
不是外人
我终于懂得
我终于舍得放手让你寻找下一段的旅程
你就是一道光有无限可能
不是为了我也要勇敢也要幸福也要快乐
你永远 会是我最爱的人
我终于懂得放手能让想念更自由地折射
我会像一道光在黑夜里等
等到我生命不再孤单不再徬徨不再忐忑
你永远 会住在我的灵魂
不是外人
我终于懂得
我终于舍得
最亲爱的



",外人,外人
https://mojim.com/cny100012x83x1.htm,"
五月天






知足(诺亚方舟10周年进化)


feat. 告五人
作词：阿信
作曲：阿信
怎么去拥有　一道彩虹　怎么去拥抱　一夏天的风
天上的星星　笑地上的人　总是不能懂　不能觉得足够
如果我爱上　你的笑容　要怎么收藏　要怎么拥有
如果你快乐　不是为我　会不会放手　其实才是拥有
当一阵风吹来　风筝飞上天空　为了你而祈祷　而祝福　而感动
终于你身影　消失在人海尽头　才发现　笑着哭　最痛
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
那天你和我　那个山丘　那样的唱着　那一年的歌
那样的回忆　那么足够　足够我天天　都品尝著寂寞
当一阵风吹来　风筝飞上天空　为了你而祈祷　而祝福　而感动
终于你身影　消失在人海尽头　才发现　笑着哭　最痛
如果我爱上　你的笑容　要怎么收藏　要怎么拥有
如果你快乐　再不是为我　会不会放手　其实才是拥有
知足的快乐　叫我忍受心痛
知足的快乐　叫我忍受心痛



",知足,知足
https://mojim.com/cny100012x81x1.htm,"
五月天






突然好想你


Suddenly Missing You
作词：阿信
作曲：阿信
编曲：张晁毓、五月天
编曲协力：Jack、Eric、蔡巽洋
最怕空气突然安静 最怕朋友突然的关心
最怕回忆 突然翻滚绞痛著 不平息
最怕突然 听到你的消息
想念如果会有声音 不愿那是悲伤的哭泣
事到如今 终于让自己属于 我自己
只剩眼泪 还骗不过自己
突然好想你 你会在哪里 过得快乐或委屈
突然好想你 突然锋利的回忆 突然模糊的眼睛
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
我们像一首最美丽的歌曲 变成两部悲伤的电影
为什么你 带我走过最难忘的旅行
然后留下 最痛的纪念品
我们 那么甜那么美那么相信 那么疯那么热烈的曾经
为何我们还是要奔向各自的幸福和遗憾中老去
突然好想你 你会在哪里 过得快乐或委屈
突然好想你 突然锋利的回忆 突然模糊的眼睛
最怕空气突然安静 最怕朋友突然的关心
最怕回忆 突然翻滚绞痛著不平息
最怕突然 听到你的消息
最怕此生 已经决心自己过 没有你
却又突然 听到你的消息



",突然好想你,MAYDAY FLY TO 2023 五月天线上跨年演唱会 诺亚方舟十周年特别版
https://mojim.com/cny100012x81x2.htm,"
五月天






为你写下这首情歌


Song for You
作词：阿信
作曲：阿信
编曲：温奕哲 Phil Wen、五月天 Mayday、赖暐哲 Steven Lai (跳蛋工厂 EGGO Music Production)
编曲协力：于京延 A、 卢钧右、江镇宇、钟承洋
Song for You
｜如果你   忘了我
｜就让风   代替我
｜为你写下这首情歌   陪着你走
当白云变苍狗
回望故事  多不多
细数收获  够不够
曾追求的梦   还梦不梦
当命运的路口
带你缓缓走向我
让我深深的爱过
才终于学会   即使笨拙   也要执著
｜如果你   记得我
｜你和我   曾走过
｜走过拥有你的此生   别无所求
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
｜如果你   忘了我
｜就让风   代替我
｜为你写下这首情歌   陪着你走
如天地与蜉蝣
如此渺小的你我
人间无常的变奏
只想每一刻    给你温柔
又是什么因果
前世千次的错过
换来一刻的回眸
终于让此生   曾经有你   患难与共
｜如果你   记得我
｜你和我   曾走过
｜走过拥有你的此生   别无所求
｜如果你   忘了我
｜就让风   代替我
｜为你写下这首情歌   陪着你走
｜陪你走过朝霞星空   天长地久
｜陪着你走



",为你写下这首情歌,MAYDAY FLY TO 2023 五月天线上跨年演唱会 诺亚方舟十周年特别版
https://mojim.com/cny100012x81x3.htm,"
五月天






最重要的小事


The Most Important Trivial Matter
作词：阿信
作曲：玛莎
编曲：W. LIN、于修whyx
编曲协力：詹宏业
我　走过动荡日子　追过梦的放肆　穿过多少生死
却　假装若无其事　穿过半个城市　只想看你样子
这一刻　最重要的事
是属于你　最小的事
世界纷纷扰扰喧喧闹闹　什么是真实
为你跌跌撞撞傻傻笑笑　买一杯果汁
就算庸庸碌碌匆匆忙忙　活过一辈子
也要分分秒秒年年日日　全心守护你
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
最小的事
我　就算壮烈前世　征服滚滚乱世　万人为我写诗
而　幸福却是此时　静静帮你提着　哈囉凯蒂袋子
这一刻　最重要的事
是属于你　最小的事
世界纷纷扰扰喧喧闹闹　什么是真实
为你跌跌撞撞傻傻笑笑　买一杯果汁
就算庸庸碌碌匆匆忙忙　活过一辈子
也要分分秒秒年年日日　全心守护你
最小的事　(最重要的事)
你笑得像个孩子　每个平凡小事　变成永恒故事



",最重要的小事,MAYDAY FLY TO 2023 五月天线上跨年演唱会 诺亚方舟十周年特别版
https://mojim.com/cny100012x79x1.htm,"
五月天






我们都活在进化之中


STAYREAL 15周年全新品牌主题曲
作词：告五人 云安
作曲：告五人 云安
编曲：徐平、五月天 阿信
我们都活在进化之中
改变是为了能够保持真诚的血统
我们都活在进化之中
沈淀的岁月淬炼我们能静也能动
我们都活在进化之中
曾有古老传说
描述黑暗之中出现的那道光
在那道光里
土壤之中长出一支新鲜花朵
她吸收光照耀的每个角落
吐出芬芳并结出了果
告诉黑暗自己不用多久
就会让森林拥抱寂寞
我们都活在进化之中
改变是为了能够保持真诚的血统
我们都活在进化之中
沈淀的岁月淬炼我们能静也能动
我们都活在进化之中
We will stay real
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
当时间变成时代
变成车水马龙盘据的城市
那朵花已开枝散叶
只是森林已经都变成高楼
她吸收光照耀的每个角落
吐出芬芳并结出了果
告诉自己从来不寂寞
安静地看着世界流动
我们都活在进化之中
改变是为了能够保持真诚的血统
我们都活在进化之中
沈淀的岁月淬炼我们能静也能动
我们都活在进化之中
We will stay real
一朵花一颗种子  (Stay real)
托付希望的种子  (Stay real)
没人能帮助种子  (Stay real)
种子只能自己靠自己  (Stay real)
我们都活在进化之中
We will stay real
[00:00.00]我们都活在进化之中
[00:00.55]作词&作曲：告五人 云安
[00:01.55]我们都活在进化之中
[00:06.14]改变是为了能够保持真诚的血统
[00:10.39]我们都活在进化之中
[00:14.89]沈淀的岁月淬炼我们能静也能动
[00:19.16]我们都活在进化之中
[00:21.51]曾有古老传说
[00:24.70]描述黑暗之中出现的那道光
[00:29.00]在那道光里
[00:33.56]土壤之中长出一支新鲜花朵
[00:37.00]
[00:37.55]她吸收光照耀的每个角落
[00:41.47]吐出芬芳并结出了果
[00:46.04]告诉黑暗自己不用多久
[00:50.24]就会让森林拥抱寂寞
[00:55.55]
[00:56.44]我们都活在进化之中
[01:00.67]改变是为了能够保持真诚的血统
[01:04.91]我们都活在进化之中
[01:09.26]沈淀的岁月淬炼我们能静也能动
[01:13.59]我们都活在进化之中
[01:17.18]
[01:20.89]We will stay real
[01:23.42]
[01:33.07]当时间变成时代
[01:37.08]变成车水马龙盘据的城市
[01:41.69]那朵花已开枝散叶
[01:45.48]只是森林已经都变成高楼
[01:49.41]
[01:49.91]她吸收光照耀的每个角落
[01:53.79]吐出芬芳并结出了果
[01:58.00]告诉自己从来不寂寞
[02:02.27]安静地看着世界流动
[02:08.32]
[02:08.57]我们都活在进化之中
[02:12.81]改变是为了能够保持真诚的血统
[02:16.97]我们都活在进化之中
[02:21.46]沈淀的岁月淬炼我们能静也能动
[02:25.61]我们都活在进化之中
[02:29.31]更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网
[02:32.92]We will stay real
[02:35.23]
[02:36.48]一朵花一颗种子  (Stay real)
[02:39.02]托付希望的种子  (Stay real)
[02:40.85]没人能帮助种子  (Stay real)
[02:43.05]种子只能自己靠自己  (Stay real)
[02:45.66]一朵花一颗种子  (Stay real)
[02:47.43]托付希望的种子  (Stay real)
[02:49.54]没人能帮助种子  (Stay real)
[02:51.83]种子只能自己靠自己  (Stay real)
[02:54.74]
[02:56.55]我们都活在进化之中
[02:59.00]We will stay real
[03:03.00]


 感谢 
台中五迷 - 品睿
 
 提供动态歌词

",我们都活在进化之中,我们都活在进化之中
https://mojim.com/cny100012x77x1.htm,"
五月天(Mayday)






离开地球表面


作词：阿信
作曲：阿信
编曲：潘信维 Lil Pan、CYH、DJ MYLOK、五月天 Mayday
一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉
我甩掉地球 地球甩掉 只要越跳越高
丢掉手表 丢外套 丢掉背包 再丢唠叨
丢掉电视 丢电脑 丢掉大脑 再丢烦恼
野心大 胆子小 跳舞还要靠别人教
恨得多 爱得少 只想越跳越疯 越跳越高 把地球甩掉
一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
我再也不要 再也不要 委屈自己一秒
一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉
我甩掉地球 地球甩掉 只要越跳越高
一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉
我再也不要 再也不要 委屈自己一秒
一颗心噗通噗通的狂跳 一瞬间烦恼烦恼烦恼全忘掉
我甩掉地球 地球甩掉 只要越跳越高
Jump～



",离开地球表面,五月天 好好好想见到你 Mayday fly to 2022 线上特别版 LIVE
https://mojim.com/cny100012x77x2.htm,"
五月天(Mayday)






派对动物


作词：阿信
作曲：阿信
编曲：潘信维 Lil Pan、钱诚、Dj Ground、五月天 Mayday
Let's go party party all night, oh oh oh oh
Hey lonely lonely goodbye, oh oh oh oh
我们都有觉悟  要疯狂到日出
我们  天生  就是 派对动物
我很严肃  这不能耽误  这不能让步
那现实中  已经有太多让步
Hey 派对动物  别找退路
不会跳舞  就不要跳舞  摇摆也幸福
就闭着眼  以空气吉他飙速
Hey 派对动物  不要认输
你不孤独  朋友满屋  疯狂胡闹  疯狂庆祝
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
Let's go party party all night, oh oh oh oh
And many many good times, oh oh oh oh
不愿被当宠物  宁愿变成怪物  噢噢 oh oh oh oh
Let's go party party all night, oh oh oh oh
Hey lonely lonely goodbye, oh oh oh oh
我们都有觉悟  要疯狂到日出
我们  天生  就是 派对动物
Let's go party party all night, oh oh oh oh
And many many good times, oh oh oh oh
人生难得糊涂  偶尔脱轨演出  噢噢 oh oh oh oh
Let's go party party all night, oh oh oh oh
Hey lonely lonely goodbye, oh oh oh oh
我们都有觉悟  要疯狂到日出
我们  天生  就是  派对动物



",派对动物,五月天 好好好想见到你 Mayday fly to 2022 线上特别版 LIVE
https://mojim.com/cny100012x77x3.htm,"
五月天(Mayday)






人生海海


作词：阿信
作曲：阿信
编曲：潘信维Lil Pan、蒙捷文 J. Meng、sionC、蔡巽洋 Ocean Tsai、五月天 Mayday
有一天 我在想 我到底 算是个什么东西
还是我 会不会 根本就不算东西
天天都漫无目的 偏偏又想要证明 真理
别人从屁股放屁 我却每天每天都说要革命
就算是这个世界 把我抛弃
而至少快乐伤心我自己决定
所以我说 就让他去
我知道潮落之后一定有潮起
有什么了不起
常常我 豁出去 拼了命 走过却没有痕迹
可是我 从不怕 挖出我火热的心
手上有一个硬币 反面就决定放弃 嗝屁
但是啊在我心底 却完完全全不想放弃
就算是这个世界 把我抛弃
而至少快乐伤心我自己决定
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
所以我说 就让他去
我知道潮落之后一定有潮起
有什么了不起
常常我闭上眼睛 听到了海的呼吸 是你
温柔的蓝色潮汐 告诉我没有关系
就算真的 整个世界 把我抛弃
而至少快乐伤心我自己决定
所以我说 就让他去
我知道潮落之后一定有潮起
我不能忘记
无论是我的明天 要去哪里
而至少快乐伤心我自己决定
所以我说 就让他去
我知道潮落之后一定有潮起
有什么了不起 有什么了不起
啦～
明天我 在哪里



",人生海海,五月天 好好好想见到你 Mayday fly to 2022 线上特别版 LIVE
https://mojim.com/cny100012x77x4.htm,"
五月天(Mayday)






爱情万岁


作词：阿信
作曲：阿信
编曲：张家诚 Chia-Cheng Chang、五月天 Mayday
就让我吻你吻你吻你 直到天明
就让我穿过你的外衣跟你的内衣
就让我吻你吻你吻你 直到天明
就让我刺探你最深深深处 你的秘密
就让我
我需要你的体温 虽然此刻我一点也不觉得寒冷
我感到巨大的饥饿 虽然无聊满满地撑涨我的灵魂
相恋不能再倾国倾城 倾倒你心里越来越冷越坚固的灵魂
此刻你也就别再等 不能再等 不能再等 让热情变冷
就让我吻你吻你吻你 直到天明
就让我穿过你的外衣跟你的内衣
就让我吻你吻你吻你 直到天明
就让我刺探你最深深深处 你的秘密
就让我 就让我
别再等待 不曾降临 的真理
黎明之前 只要和你 尽情嬉戏
我不在乎你的姓名 你的明天你的过去你是男是女
更多更详尽歌词 在 ※ Mojim.com　魔镜歌词网 
我是如此的清醒 不打算离去 也不打算真的爱你
相恋不能再倾国倾城 倾倒你心里越来越冷越坚固的灵魂
此刻你也就别再等 不能再等 不能再等 让热情变冷
就让我吻你吻你吻你 直到天明
就让我穿过你的外衣跟你的内衣
就让我吻你吻你吻你 直到天明
就让我刺探你最深深深处 你的秘密
就让我 就让我
别再等待 不曾降临 的真理
黎明之前 只要和你 尽情嬉戏
就让我吻你吻你吻你 直到天明
就让我穿过你的外衣跟你的内衣
就让我吻你吻你吻你 直到天明
就让我刺探你最深深深处 你的秘密
就让我 就让我
别再等待 不曾降临 的真理
黎明之前 只要和你 尽情嬉戏
喔～喔～喔～呀～呀～呀～
喔～喔～喔～


 感谢 
Edwin
 
 修正歌词

",爱情万岁,五月天 好好好想见到你 Mayday fly to 2022 线上特别版 LIVE
